,date,home_team,score,away_team
315,03-03-2024,Villarreal,5 - 1,Granada
316,09-03-2024,Granada,2 - 3,Sociedad
317,16-03-2024,Mallorca,? - ?,Granada
318,12-08-2023,Las Palmas,1 - 1,Mallorca
319,18-08-2023,Valencia,1 - 0,Las Palmas
320,25-08-2023,Las Palmas,0 - 0,Sociedad
321,03-09-2023,Girona,1 - 0,Las Palmas
322,17-09-2023,Sevilla,1 - 0,Las Palmas
323,24-09-2023,Las Palmas,1 - 0,Granada
324,27-09-2023,Real Madrid,2 - 0,Las Palmas
325,02-10-2023,Las Palmas,2 - 1,Celta
326,08-10-2023,Villarreal,1 - 2,Las Palmas
327,22-10-2023,Las Palmas,0 - 1,Vallecano
328,28-10-2023,Almeria,1 - 2,Las Palmas
329,03-11-2023,Las Palmas,2 - 1,Ath Madrid
330,11-11-2023,Osasuna,1 - 1,Las Palmas
331,26-11-2023,Betis,1 - 0,Las Palmas
332,01-12-2023,Las Palmas,2 - 0,Getafe
333,09-12-2023,Alaves,0 - 1,Las Palmas
334,17-12-2023,Las Palmas,1 - 1,Cadiz
335,20-12-2023,Ath Bilbao,1 - 0,Las Palmas
336,04-01-2024,Las Palmas,1 - 2,Barcelona
337,13-01-2024,Las Palmas,3 - 0,Villarreal
338,20-01-2024,Vallecano,0 - 2,Las Palmas
339,27-01-2024,Las Palmas,1 - 2,Real Madrid
340,03-02-2024,Granada,1 - 1,Las Palmas
341,10-02-2024,Las Palmas,2 - 0,Valencia
342,17-02-2024,Ath Madrid,5 - 0,Las Palmas
343,25-02-2024,Las Palmas,1 - 1,Osasuna
344,02-03-2024,Getafe,3 - 3,Las Palmas
345,10-03-2024,Las Palmas,0 - 2,Ath Bilbao
346,17-03-2024,Las Palmas,? - ?,Almeria
347,12-08-2023,Las Palmas,1 - 1,Mallorca
348,18-08-2023,Mallorca,0 - 1,Villarreal
349,26-08-2023,Granada,3 - 2,Mallorca
350,03-09-2023,Mallorca,0 - 0,Ath Bilbao
351,16-09-2023,Celta,0 - 1,Mallorca
352,23-09-2023,Girona,5 - 3,Mallorca
353,26-09-2023,Mallorca,2 - 2,Barcelona
354,30-09-2023,Vallecano,2 - 2,Mallorca
355,07-10-2023,Mallorca,1 - 1,Valencia
356,21-10-2023,Sociedad,1 - 0,Mallorca
357,28-10-2023,Mallorca,0 - 0,Getafe
358,04-11-2023,Betis,2 - 0,Mallorca
359,25-11-2023,Ath Madrid,1 - 0,Mallorca
